from_term,to_canonical
cease fire gaza,cease fire
benjamin netanyahu netanyahu,benjamin netanyahu
donald trump trump,donald trump
kamala harris harris,kamala harris
president elect donald,donald trump
elect donald,donald trump
elect donald trump,donald trump
netanyahu netanyahu israel,benjamin netanyahu
netanyahu israel,benjamin netanyahu
volodymyr zelensky putin,zelensky putin
cease fire deal,cease fire
fire deal,cease fire
cease fire gaza,cease fire
fire gaza,cease fire
volodymyr zelensky ukraine,volodymyr zelensky
zelensky ukraine,volodymyr zelensky
putin russia,vladimir putin
volodymyr zelensky putin,zelensky putin
zelensky putin russia,zelensky putin
bashar al,bashar al assad
al assad,bashar al assad
gaza cease fire,cease fire
gaza cease,cease fire
york city,new york
occupied west,occupied west bank
president bashar al,bashar al assad
eric adams adams,eric adams
reserve officials,federal reserve officials
york times,new york times
cut interest,cut interest rates
criminal court,international criminal court
international criminal,international criminal court
antony blinken blinken,antony blinken
secretary antony blinken,antony blinken
secretary antony,antony blinken
wall wall street,wall street
street journal,wall street
president emmanuel macron,emmanuel macron
president emmanuel,emmanuel macron
minister narendra,narendra modi
prime minister narendra,narendra modi
minister narendra modi,narendra modi
narendra modi india,narendra modi
india prime minister,narendra modi
modi india,narendra modi
president nicolás maduro,nicolás maduro
githt climate,fight climate change
european central,european central bank
rate cuts,interest rate cuts
tested positive,swimmers tested positive
united automobile,united automobile workers
gov kathy hochul,kathy hochul
gov kathy,kathy hochul
macron france,emmanuel macron
emmanuel macron,emmanuel macron
chair federal,chair federal reserve
netanyahu netanyahu,benjamin netanyahu
harris harris,kamala harris
adams adams,eric adams
blinken blinken,antony blinken
mr trump,donald trump
class action,class action lawsuit
action lawsuit,class action lawsuit
consumer financial,consumer financial protection
financial protection,consumer financial protection
financial production bureau,consumer financial protection
collapse archegos capital,archegos capital management
collapse archegos,archegos capital management
archegos capital,archegos capital management
metropolitan transportation,metropolitan transportation authority
holiday shopping,holiday shopping season
kong intelligence,hong kong intelligence
justin trudeau trudeau,justin trudeau
prime justin,justin trudeau
trudeau trudeau,justin trudeau
prime justin trudeau,justin trudeau
trudeau trudeau canada,justin trudeau
officials said,officials
officials say,officials
military said,military
israeli military said,israeli military
israel said,israel
right abortion,abortion rights
abortion pill,abortion pills
donald trump said,donald trump
trump said,donald trump
wall wall,wall street
storm debby,tropical storm debby
protection agency,environmental protection agency
environmental protection,environmental protection agency
greenhouse gas,greenhouse gas emissions
gas emissions,greenhouse gas emissions
fight climate,fight climate change
united nations climate,united nations
nations climate,united nations
according new,new research
kathy hochul new,kathy hochul
hochul new,kathy hochul
japan nippon steel,nippon steel
japan nippon,nippon steel
east gulf,east gulf coasts
gulf coasts,east gulf coasts
president biden,joe biden
president william,william ruto
president william ruto,william ruto
port au,port au prince
au prince,port au prince
african national,african national congress
national congress,african national congress
african country,african nation
african nations,african nation
west african country,west africa
venezuela presidential,venezuela presidential election
cutting interest,interest rate cuts
cut interest rates,interest rate cuts
interest rate,interest rates
high interest,high interest rates
lower interest,lower interest rates
national association,national association realtors
association realtors,national association realtors
jerome powell chair,jerome powell
powell chair,jerome powell
powell chair federal,jerome powell
right alternative,right alternative germany
germany party,alternative germany party
alternative germany,alternative germany party
chancellor olaf,olaf scholz
chancellor olaf scholz,olaf scholz
minister kei starmer,keir starmer
minister keir,keir starmer
minister giorgia,giorgia meloni
minister giorgia meloni,giorgia meloni
prime minister giorgia,giorgia meloni
seekers rwanda,asylum seekers rwanda
minister rishi sunak,rishi sunak
prime minister rishi,rishi sunak
minister rishi,rishi sunak
national rally,right national rally
right party,far right party
war ii,world war ii
democracy activist,democracy activists
chinese community,chinese community party
communist party,chinese community party
assisting hong,hong kong intelligence
police said,police
man drove,drove vehicle crowd
drove vehicle,drove vehicle crowd
drove vehicle crowd,drove vehicle crowd
man drove vehicle,drove vehicle crowd
race massacre,tulsa race massacre
tulsa race,tulsa race massacre
soccer fans,israeli soccer fans
israeli soccer,israeli soccer fans
prosecutors said,prosecutors
assange wikileaks,julian assange
wikileaks founder,julian assange
julian assange wikileaks,julian assange
assange wikileaks founder,julian assange
secretary lloyd,lloyd austin
secretary lloyd austin,lloyd austin
defense secretary lloyd,lloyd austin
austin iii,lloyd austin
sept 11,sept 11 2001
11 2001,sept 11 2001
