source,target,value,shared_articles_count,source_tokens,target_tokens,overlap_tokens,overlap_count
cease fire gaza,gaza cease fire,10,10,cease | cease fire | fire | fire gaza | gaza,cease | cease fire | fire | gaza | gaza cease,cease fire | cease | fire | gaza,4
year might mean,might mean year,9,9,mean | might | might mean | year | year might,mean | mean year | might | might mean | year,might mean | mean | might | year,4
benjamin netanyahu,benjamin netanyahu netanyahu,165,165,benjamin | benjamin netanyahu | netanyahu,benjamin | benjamin netanyahu | netanyahu | netanyahu netanyahu,benjamin netanyahu | benjamin | netanyahu,3
donald trump,donald trump trump,155,155,donald | donald trump | trump,donald | donald trump | trump | trump trump,donald trump | donald | trump,3
kamala harris,kamala harris harris,141,141,harris | kamala | kamala harris,harris | harris harris | kamala | kamala harris,kamala harris | harris | kamala,3
donald trump,elect donald trump,100,100,donald | donald trump | trump,donald | donald trump | elect | elect donald | trump,donald trump | donald | trump,3
elect donald,elect donald trump,100,100,donald | elect | elect donald,donald | donald trump | elect | elect donald | trump,elect donald | donald | elect,3
president elect donald,elect donald,100,100,donald | elect | elect donald | president | president elect,donald | elect | elect donald,elect donald | donald | elect,3
president elect donald,elect donald trump,100,100,donald | elect | elect donald | president | president elect,donald | donald trump | elect | elect donald | trump,elect donald | donald | elect,3
president elect donald,president elect,100,100,donald | elect | elect donald | president | president elect,elect | president | president elect,president elect | elect | president,3
netanyahu netanyahu israel,netanyahu israel,85,85,israel | netanyahu | netanyahu israel | netanyahu netanyahu,israel | netanyahu | netanyahu israel,netanyahu israel | israel | netanyahu,3
volodymyr zelensky putin,volodymyr zelensky,82,82,putin | volodymyr | volodymyr zelensky | zelensky | zelensky putin,volodymyr | volodymyr zelensky | zelensky,volodymyr zelensky | volodymyr | zelensky,3
zelensky putin,volodymyr zelensky putin,82,82,putin | zelensky | zelensky putin,putin | volodymyr | volodymyr zelensky | zelensky | zelensky putin,zelensky putin | putin | zelensky,3
israeli military,israeli military said,73,73,israeli | israeli military | military,israeli | israeli military | military,israeli military | israeli | military,3
cease fire deal,cease fire,72,72,cease | cease fire | deal | fire | fire deal,cease | cease fire | fire,cease fire | cease | fire,3
cease fire deal,fire deal,72,72,cease | cease fire | deal | fire | fire deal,deal | fire | fire deal,fire deal | deal | fire,3
cease fire,cease fire gaza,61,61,cease | cease fire | fire,cease | cease fire | fire | fire gaza | gaza,cease fire | cease | fire,3
fire gaza,cease fire gaza,61,61,fire | fire gaza | gaza,cease | cease fire | fire | fire gaza | gaza,fire gaza | fire | gaza,3
volodymyr zelensky,volodymyr zelensky ukraine,59,59,volodymyr | volodymyr zelensky | zelensky,ukraine | volodymyr | volodymyr zelensky | zelensky | zelensky ukraine,volodymyr zelensky | volodymyr | zelensky,3
volodymyr zelensky ukraine,zelensky ukraine,59,59,ukraine | volodymyr | volodymyr zelensky | zelensky | zelensky ukraine,ukraine | zelensky | zelensky ukraine,zelensky ukraine | ukraine | zelensky,3
putin russia,zelensky putin russia,51,51,putin | putin russia | russia,putin | putin russia | russia | zelensky | zelensky putin,putin russia | putin | russia,3
volodymyr zelensky putin,zelensky putin russia,51,51,putin | volodymyr | volodymyr zelensky | zelensky | zelensky putin,putin | putin russia | russia | zelensky | zelensky putin,zelensky putin | putin | zelensky,3
zelensky putin,zelensky putin russia,51,51,putin | zelensky | zelensky putin,putin | putin russia | russia | zelensky | zelensky putin,zelensky putin | putin | zelensky,3
al assad,bashar al assad,50,50,al | al assad | assad,al | al assad | assad | bashar | bashar al,al assad | al | assad,3
bashar al,bashar al assad,50,50,al | bashar | bashar al,al | al assad | assad | bashar | bashar al,bashar al | al | bashar,3
cease fire,gaza cease fire,49,49,cease | cease fire | fire,cease | cease fire | fire | gaza | gaza cease,cease fire | cease | fire,3
gaza cease,gaza cease fire,49,49,cease | gaza | gaza cease,cease | cease fire | fire | gaza | gaza cease,gaza cease | cease | gaza,3
new york city,new york,48,48,city | new | new york | york | york city,new | new york | york,new york | new | york,3
