source,target,value,shared_articles_count,source_tokens,target_tokens,overlap_tokens,overlap_count
might mean year,year might mean,9,0,mean | mean year | might | might mean | year,mean | might | might mean | year | year might,might mean | mean | might | year,4
new york,new york city,96,0,new | new york | york,city | new | new york | york | york city,new york | new | york,3
occupied west bank,west bank,92,0,bank | occupied | occupied west | west | west bank,bank | west | west bank,west bank | bank | west,3
israeli military,israeli military said,73,0,israeli | israeli military | military,israeli | israeli military | military,israeli military | israeli | military,3
new york,new york times,68,0,new | new york | york,new | new york | times | york | york times,new york | new | york,3
federal reserve,federal reserve officials,64,0,federal | federal reserve | reserve,federal | federal reserve | officials | reserve | reserve officials,federal reserve | federal | reserve,3
new york,new york times,64,0,new | new york | york,new | new york | times | york | york times,new york | new | york,3
wall street,wall street journal,63,0,street | wall | wall street,journal | street | street journal | wall | wall street,wall street | street | wall,3
cut interest rates,interest rates,62,0,cut | cut interest | interest | interest rates | rates,interest | interest rates | rates,interest rates | interest | rates,3
donald trump,donald trump said,44,0,donald | donald trump | trump,donald | donald trump | trump,donald trump | donald | trump,3
emmanuel macron,emmanuel macron france,44,0,emmanuel | emmanuel macron | macron,emmanuel | emmanuel macron | france | macron | macron france,emmanuel macron | emmanuel | macron,3
new york,new york times,44,0,new | new york | york,new | new york | times | york | york times,new york | new | york,3
new york,new york city,36,0,new | new york | york,city | new | new york | york | york city,new york | new | york,3
interest rate,interest rate cuts,30,0,interest | interest rate | rate,cuts | interest | interest rate | rate | rate cuts,interest rate | interest | rate,3
central bank,european central bank,28,0,bank | central | central bank,bank | central | central bank | european | european central,central bank | bank | central,3
swimmers tested,swimmers tested positive,28,0,swimmers | swimmers tested | tested,positive | swimmers | swimmers tested | tested | tested positive,swimmers tested | swimmers | tested,3
automobile workers,united automobile workers,26,0,automobile | automobile workers | workers,automobile | automobile workers | united | united automobile | workers,automobile workers | automobile | workers,3
new york,new york city,26,0,new | new york | york,city | new | new york | york | york city,new york | new | york,3
chair federal reserve,federal reserve,22,0,chair | chair federal | federal | federal reserve | reserve,federal | federal reserve | reserve,federal reserve | federal | reserve,3
chinese swimmers tested,swimmers tested positive,22,0,chinese | chinese swimmers | swimmers | swimmers tested | tested,positive | swimmers | swimmers tested | tested | tested positive,swimmers tested | swimmers | tested,3
new york,new york times,22,0,new | new york | york,new | new york | times | york | york times,new york | new | york,3
chair federal reserve,powell chair federal,20,0,chair | chair federal | federal | federal reserve | reserve,chair | chair federal | federal | powell | powell chair,chair federal | chair | federal,3
new york,new york city,20,0,new | new york | york,city | new | new york | york | york city,new york | new | york,3
swimmers tested positive,tested positive banned,18,0,positive | swimmers | swimmers tested | tested | tested positive,banned | positive | positive banned | tested | tested positive,tested positive | positive | tested,3
narendra modi,narendra modi india,17,0,modi | narendra | narendra modi,india | modi | modi india | narendra | narendra modi,narendra modi | modi | narendra,3
new york,new york city,16,0,new | new york | york,city | new | new york | york | york city,new york | new | york,3
climate change,fight climate change,15,0,change | climate | climate change,change | climate | climate change | fight | fight climate,climate change | change | climate,3
fight climate,fight climate change,15,0,climate | fight | fight climate,change | climate | climate change | fight | fight climate,fight climate | climate | fight,3
automobile workers union,united automobile workers,12,0,automobile | automobile workers | union | workers | workers union,automobile | automobile workers | united | united automobile | workers,automobile workers | automobile | workers,3
kathy hochul,kathy hochul new,12,0,hochul | kathy | kathy hochul,hochul | hochul new | kathy | kathy hochul | new,kathy hochul | hochul | kathy,3
paperbacks read,paperbacks read week,12,0,paperbacks | paperbacks read | read,paperbacks | paperbacks read | read | read week | week,paperbacks read | paperbacks | read,3
paperbacks read week,read week,12,0,paperbacks | paperbacks read | read | read week | week,read | read week | week,read week | read | week,3
chinese swimmers,chinese swimmers tested,11,0,chinese | chinese swimmers | swimmers,chinese | chinese swimmers | swimmers | swimmers tested | tested,chinese swimmers | chinese | swimmers,3
chinese swimmers,elite chinese swimmers,11,0,chinese | chinese swimmers | swimmers,chinese | chinese swimmers | elite | elite chinese | swimmers,chinese swimmers | chinese | swimmers,3
chinese swimmers tested,swimmers tested,11,0,chinese | chinese swimmers | swimmers | swimmers tested | tested,swimmers | swimmers tested | tested,swimmers tested | swimmers | tested,3
cutting interest,cutting interest rates,11,0,cutting | cutting interest | interest,cutting | cutting interest | interest | interest rates | rates,cutting interest | cutting | interest,3
cutting interest rates,interest rates,11,0,cutting | cutting interest | interest | interest rates | rates,interest | interest rates | rates,interest rates | interest | rates,3
east gulf,east gulf coasts,11,0,east | east gulf | gulf,coasts | east | east gulf | gulf | gulf coasts,east gulf | east | gulf,3
east gulf coasts,gulf coasts,11,0,coasts | east | east gulf | gulf | gulf coasts,coasts | gulf | gulf coasts,gulf coasts | coasts | gulf,3
elite chinese,elite chinese swimmers,11,0,chinese | elite | elite chinese,chinese | chinese swimmers | elite | elite chinese | swimmers,elite chinese | chinese | elite,3
jerome powell,jerome powell chair,11,0,jerome | jerome powell | powell,chair | jerome | jerome powell | powell | powell chair,jerome powell | jerome | powell,3
jerome powell chair,powell chair,11,0,chair | jerome | jerome powell | powell | powell chair,chair | powell | powell chair,powell chair | chair | powell,3
justin trudeau,justin trudeau trudeau,11,0,justin | justin trudeau | trudeau,justin | justin trudeau | trudeau | trudeau trudeau,justin trudeau | justin | trudeau,3
justin trudeau,prime justin trudeau,11,0,justin | justin trudeau | trudeau,justin | justin trudeau | prime | prime justin | trudeau,justin trudeau | justin | trudeau,3
justin trudeau trudeau,prime justin trudeau,11,0,justin | justin trudeau | trudeau | trudeau trudeau,justin | justin trudeau | prime | prime justin | trudeau,justin trudeau | justin | trudeau,3
prime justin,prime justin trudeau,11,0,justin | prime | prime justin,justin | justin trudeau | prime | prime justin | trudeau,prime justin | justin | prime,3
anti doping,anti doping agency,10,0,anti | anti doping | doping,agency | anti | anti doping | doping | doping agency,anti doping | anti | doping,3
anti doping,world anti doping,10,0,anti | anti doping | doping,anti | anti doping | doping | world | world anti,anti doping | anti | doping,3
anti doping agency,doping agency,10,0,agency | anti | anti doping | doping | doping agency,agency | doping | doping agency,doping agency | agency | doping,3
anti doping agency,world anti doping,10,0,agency | anti | anti doping | doping | doping agency,anti | anti doping | doping | world | world anti,anti doping | anti | doping,3
chancellor olaf,chancellor olaf scholz,10,0,chancellor | chancellor olaf | olaf,chancellor | chancellor olaf | olaf | olaf scholz | scholz,chancellor olaf | chancellor | olaf,3
